종목명	회사구분	접수일자	보고서명(정지유형)	제출인
미래산업 IR	유	2025.04.16	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
동원산업 IR	유	2025.04.14	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
동원F&B	기	2025.04.14	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
이엔플러스	유	2025.04.07	매매거래정지및정지해제(풍문등조회공시)	유가증권시장본부
티에이치엔	유	2025.03.31	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
금양	유	2025.03.21	매매거래정지및정지해제(풍문등조회공시)	유가증권시장본부
다이나믹디자인	유	2025.03.21	매매거래정지및정지해제(풍문등조회공시)	유가증권시장본부
KC그린홀딩스	유	2025.03.19	매매거래정지및정지해제(풍문등조회공시)	유가증권시장본부
KC코트렐	유	2025.03.19	매매거래정지및정지해제(풍문등조회공시)	유가증권시장본부
제이에스코퍼레이션 IR	유	2025.03.19	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
대성산업	유	2025.03.12	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
참엔지니어링	유	2025.03.11	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
KG모빌리티	유	2025.03.10	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
이엔플러스	유	2025.02.28	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
KC코트렐	유	2025.02.27	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
모토닉	유	2025.02.03	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
SNT모티브	유	2025.01.14	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
아센디오	유	2025.01.13	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
경보제약	유	2024.12.27	매매거래정지및정지해제(풍문등조회공시)	유가증권시장본부
진양화학	유	2024.12.27	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
우양피앤엘	유	2024.12.16	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
교촌에프앤비	유	2024.12.13	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
KISCO홀딩스	유	2024.12.13	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
한국철강	유	2024.12.13	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
우성머티리얼스	유	2024.12.12	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
효성티앤씨	유	2024.12.12	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
효성화학	유	2024.12.12	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
