종목명	시장	접수일자	정지사유	제출인
알지노믹스	코	2026.06.15	무상증자	코스닥시장본부
현대사료	코	2026.06.12	투자자 보호	코스닥시장본부
에스아이리소스	코	2026.06.12	조회공시 신고시한 위반	코스닥시장본부
소노스퀘어	코	2026.06.12	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
세종메디칼	코	2026.06.12	투자자 보호	코스닥시장본부
GMI벤처	코	2026.06.12	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
DH오토웨어	코	2026.06.10	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
하나기술	코	2026.06.09	단일판매공급계약	코스닥시장본부
티에스넥스젠	코	2026.06.09	투자자 보호	코스닥시장본부
셀레스트라 IR	코	2026.06.09	투자자 보호	코스닥시장본부
에코마케팅	기	2026.06.08	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
티비씨	코	2026.06.05	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
투비소프트	코	2026.06.05	투자자 보호	코스닥시장본부
캔버스엔	코	2026.06.05	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
아이에이	코	2026.06.05	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
기가레인	코	2026.06.05	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
한국제13호기업인수목적	기	2026.06.05	상장폐지 사유발생	코스닥시장본부
팡스카이	넥	2026.06.04		코넥스시장
오에스피	코	2026.06.04	무상증자	코스닥시장본부
썸에이지	코	2026.06.04	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
씨엔알리서치	코	2026.06.02	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
메이슨캐피탈	코	2026.06.02	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
한국비티비	코	2026.06.01	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
다이나믹솔루션	코	2026.06.01	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
TS인베스트먼트	코	2026.06.01	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
퓨쳐켐	코	2026.05.29	무상증자	코스닥시장본부
텔콘RF제약	코	2026.05.29	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
우진비앤지	코	2026.05.29	무상증자	코스닥시장본부
케스피온	코	2026.05.28	자본감소	코스닥시장본부
파이온엑스	코	2026.05.26	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
크리스탈신소재 IR	코	2026.05.26	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
케이피엠테크	코	2026.05.26	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
케이비제27호기업인수목적	기	2026.05.26	상장폐지 사유발생	코스닥시장본부
비큐AI	코	2026.05.21	자본감소	코스닥시장본부
플래스크	코	2026.05.20	투자자 보호	코스닥시장본부
오가닉티코스메틱	코	2026.05.20	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
휴온스 IR	코	2026.05.18	우회상장여부 및 요건충족확인	코스닥시장본부
HLB생명과학	코	2026.05.15	중요한 영업정지	코스닥시장본부
딥커머스	코	2026.05.14	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
엔에이치기업인수목적29호	기	2026.05.13	SPAC 소멸합병	코스닥시장본부
코미코	코	2026.05.12	무상증자	코스닥시장본부
컬러레이	코	2026.05.12	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
미래에셋비전스팩7호	코	2026.05.12	SPAC 합병(예비심사청구대상)	코스닥시장본부
네오이뮨텍	코	2026.05.12	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
나우코스	기	2026.05.11	주식의 병합, 분할 등 전자등록 변경, 말소	코넥스시장
골드앤에스	코	2026.05.08	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
에코볼트	코	2026.05.07	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
씨엑스아이	코	2026.05.07	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
딥커머스	코	2026.05.06		코스닥시장본부
에이치엠씨아이비제6호기업인수목적	기	2026.05.06	상장폐지 사유발생	코스닥시장본부
웰킵스하이텍	코	2026.04.30	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
딥커머스	코	2026.04.30	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
조이웍스앤코	코	2026.04.29	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
윙입푸드	코	2026.04.29	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
엠젠솔루션	코	2026.04.29	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
하이퍼코퍼레이션	코	2026.04.28	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
카티스	코	2026.04.28	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
이원컴포텍	코	2026.04.28	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
오성첨단소재	코	2026.04.28	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
엔투텍	코	2026.04.28	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
앱토크롬	코	2026.04.28	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
알에프텍	코	2026.04.28	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
아우딘퓨쳐스	코	2026.04.28	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
씨엔플러스	코	2026.04.28	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
손오공	코	2026.04.28	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
소프트캠프	코	2026.04.28	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
소프트센	코	2026.04.28	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
본느	코	2026.04.28	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
넥스트아이	코	2026.04.28	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
SGA솔루션즈	코	2026.04.28	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
코퍼스코리아	코	2026.04.27	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
오에스피	코	2026.04.27	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
엔젠바이오	코	2026.04.27	자본감소	코스닥시장본부
삼화네트웍스	코	2026.04.27	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
비스토스	코	2026.04.27	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
대명에너지	코	2026.04.27	단일판매공급계약	코스닥시장본부
LSK아이로봇	코	2026.04.27	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
휴림에이텍	코	2026.04.24	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
한주라이트메탈 IR	코	2026.04.24	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
폴라리스세원	코	2026.04.24	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
패션플랫폼	코	2026.04.24	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
파인텍	코	2026.04.24	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
청보	코	2026.04.24	자본감소	코스닥시장본부
자연과환경	코	2026.04.24	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
이렘	코	2026.04.24	자본감소	코스닥시장본부
유니포인트	넥	2026.04.24	주식의 병합, 분할 등 전자등록 변경, 말소	코넥스시장
위지트	코	2026.04.24	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
서울전자통신	코	2026.04.24	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
링크드	코	2026.04.24	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
리튬포어스	코	2026.04.24	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
동일스틸럭스	코	2026.04.24	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
뉴로메카	코	2026.04.24	무상증자	코스닥시장본부
글로벌에스엠	코	2026.04.24	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
큐캐피탈 IR	코	2026.04.23	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
우진비앤지	코	2026.04.23	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
멤레이비티	코	2026.04.23	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
